state,murder,culpable_homicide,dowry_deaths,attempt_murder,kidnapping,rape,assault_women,total_human_body,riots,thefts,extortion,robbery,dacoity,prep_dacoity,criminal_breach,cheating,arson,burglary,total_property,counterfeiting,cruelty_husband,insult_modesty,total_women,convicts_women,other_ipc,total_convicts,year
Tamil Nadu,1851,143,75,428,284,251,10,3042,133,617,35,325,106,48,21,123,21,237,1533,2,82,4,86,422,57,4853,2023
Telangana,1055,72,35,50,68,192,15,1487,0,165,17,43,33,6,0,9,0,68,341,0,39,0,39,281,17,1884,2023
Tripura,213,6,3,26,4,118,0,370,0,2,1,0,4,2,0,1,0,1,11,0,6,0,6,127,16,403,2023
Uttar Pradesh,11737,1473,2034,1482,769,3282,145,20922,44,859,29,305,295,74,19,45,9,190,1825,32,99,3,102,5563,563,23488,2023
Uttarakhand,928,43,51,56,36,321,75,1510,0,264,0,29,17,0,12,5,1,14,342,3,28,29,57,504,76,1988,2023
West Bengal,2675,71,82,117,82,490,4,3521,0,7,0,3,88,1,5,0,13,0,117,55,17,0,17,593,35,3745,2023
Andaman and Nicobar Islands,24,1,0,0,0,4,0,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,31,2023
Chandigarh,67,7,1,5,20,65,2,167,0,29,0,12,3,0,0,0,0,0,44,0,1,0,1,69,33,245,2023
Dadra and Nagar Haveli and Daman and Diu,3,0,0,1,0,4,1,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,10,2023
Delhi,658,18,15,141,52,426,10,1320,9,57,4,85,108,26,12,99,0,0,391,3,0,38,38,489,87,1848,2023
Jammu and Kashmir,79,1,0,1,0,35,1,117,0,4,0,0,0,0,1,0,0,1,6,0,0,0,0,36,47,170,2023
Ladakh,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2023
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
Puducherry,45,3,0,0,5,4,0,57,0,15,0,0,0,0,0,5,0,0,20,0,0,0,0,4,8,85,2023
